序号,时间,温度,湿度
198,2026-05-04 10:30:00,13.82,68.15
199,2026-05-04 10:45:00,13.4,69.97
200,2026-05-04 11:00:00,13.55,68.62
201,2026-05-04 11:15:00,13.4,68.07
202,2026-05-04 11:30:00,13.75,67.43
203,2026-05-04 11:45:00,14.17,70.0
204,2026-05-04 12:00:00,15.2,63.52
205,2026-05-04 12:15:00,15.77,62.53
206,2026-05-04 12:30:00,16.07,59.22
207,2026-05-04 12:45:00,16.27,62.6
208,2026-05-04 13:00:00,15.83,61.12
209,2026-05-04 13:15:00,16.3,63.2
210,2026-05-04 13:30:00,17.58,56.75
211,2026-05-04 13:45:00,16.8,60.13
212,2026-05-04 14:00:00,17.12,57.67
213,2026-05-04 14:15:00,17.87,59.77
214,2026-05-04 14:30:00,19.67,50.9
215,2026-05-04 14:45:00,19.03,54.67
216,2026-05-04 15:00:00,18.92,52.72
217,2026-05-04 15:15:00,18.1,57.83
218,2026-05-04 15:30:00,17.75,56.18
219,2026-05-04 15:45:00,17.07,60.6
220,2026-05-04 16:00:00,16.8,59.67
221,2026-05-04 16:15:00,16.63,63.6
222,2026-05-04 16:30:00,16.0,63.37
223,2026-05-04 16:45:00,15.87,68.43
224,2026-05-04 17:00:00,15.63,65.85
225,2026-05-04 17:15:00,17.0,66.47
226,2026-05-04 17:30:00,16.95,63.02
227,2026-05-04 17:45:00,16.43,66.83
228,2026-05-04 18:00:00,16.12,64.23
229,2026-05-04 18:15:00,15.77,67.57
230,2026-05-04 18:30:00,15.43,66.98
231,2026-05-04 18:45:00,15.4,69.77
232,2026-05-04 19:00:00,14.42,70.17
233,2026-05-04 19:15:00,14.4,73.23
234,2026-05-04 19:30:00,13.72,74.82
235,2026-05-04 19:45:00,13.67,77.4
236,2026-05-04 20:00:00,12.9,78.23
237,2026-05-04 20:15:00,13.03,80.17
238,2026-05-04 20:30:00,12.25,80.77
239,2026-05-04 20:45:00,12.37,82.6
240,2026-05-04 21:00:00,11.63,83.55
241,2026-05-04 21:15:00,11.93,85.13
242,2026-05-04 21:30:00,11.32,85.68
243,2026-05-04 21:45:00,11.83,86.87
244,2026-05-04 22:00:00,11.38,86.67
245,2026-05-04 22:15:00,12.2,86.93
246,2026-05-04 22:30:00,11.75,86.62
247,2026-05-04 22:45:00,12.27,86.9
248,2026-05-04 23:00:00,11.52,86.3
249,2026-05-04 23:15:00,11.6,86.77
250,2026-05-04 23:30:00,10.95,86.75
251,2026-05-04 23:45:00,11.17,88.07
252,2026-05-05 00:00:00,10.62,87.63
253,2026-05-05 00:15:00,11.07,88.97
254,2026-05-05 00:30:00,10.48,88.27
255,2026-05-05 00:45:00,10.87,89.4
256,2026-05-05 01:00:00,10.57,89.25
257,2026-05-05 01:15:00,11.17,90.0
258,2026-05-05 01:30:00,10.85,89.6
259,2026-05-05 01:45:00,11.37,90.43
260,2026-05-05 02:00:00,10.73,89.35
261,2026-05-05 02:15:00,10.8,90.07
262,2026-05-05 02:30:00,10.2,89.53
263,2026-05-05 02:45:00,10.83,90.8
264,2026-05-05 03:00:00,10.5,90.45
265,2026-05-05 03:15:00,11.2,91.37
266,2026-05-05 03:30:00,10.72,90.7
267,2026-05-05 03:45:00,11.2,91.6
268,2026-05-05 04:00:00,10.82,91.02
269,2026-05-05 04:15:00,11.43,91.87
270,2026-05-05 04:30:00,11.05,91.03
271,2026-05-05 04:45:00,11.67,91.83
272,2026-05-05 05:00:00,11.23,90.82
273,2026-05-05 05:15:00,11.77,91.43
274,2026-05-05 05:30:00,11.28,90.15
275,2026-05-05 05:45:00,11.87,90.97
276,2026-05-05 06:00:00,11.37,89.75
277,2026-05-05 06:15:00,11.9,90.57
278,2026-05-05 06:30:00,11.4,89.18
279,2026-05-05 06:45:00,11.93,90.13
280,2026-05-05 07:00:00,11.48,89.1
281,2026-05-05 07:15:00,12.1,89.67
282,2026-05-05 07:30:00,11.82,88.25
283,2026-05-05 07:45:00,12.73,87.9
284,2026-05-05 08:00:00,13.07,83.68
285,2026-05-05 08:15:00,13.93,83.0
286,2026-05-05 08:30:00,14.15,79.9
287,2026-05-05 08:45:00,14.5,80.07
288,2026-05-05 09:00:00,14.8,76.62
289,2026-05-05 09:15:00,15.47,76.83
290,2026-05-05 09:30:00,15.8,73.08
291,2026-05-05 09:45:00,17.13,71.2
292,2026-05-05 10:00:00,18.55,62.95
293,2026-05-05 10:15:00,19.5,61.9
294,2026-05-05 10:30:00,19.9,58.45
295,2026-05-05 10:45:00,19.27,62.77
296,2026-05-05 11:00:00,20.7,56.45
297,2026-05-05 11:15:00,23.1,53.57
298,2026-05-05 11:30:00,22.82,50.98
299,2026-05-05 11:45:00,23.57,51.5
300,2026-05-05 12:00:00,24.6,47.03
301,2026-05-05 12:15:00,24.77,47.8
302,2026-05-05 12:30:00,25.4,45.02
303,2026-05-05 12:45:00,24.86,41.16
304,2026-05-05 13:00:00,25.06,39.66
305,2026-05-05 13:15:00,24.72,39.32
306,2026-05-05 13:30:00,25.32,39.2
307,2026-05-05 13:45:00,25.52,38.49
308,2026-05-05 14:00:00,26.4,36.89
309,2026-05-05 14:15:00,26.07,36.63
310,2026-05-05 14:30:00,27.4,35.33
311,2026-05-05 14:45:00,28.26,32.79
312,2026-05-05 15:00:00,28.82,32.57
313,2026-05-05 15:15:00,29.22,31.62
314,2026-05-05 15:30:00,31.56,28.25
315,2026-05-05 15:45:00,32.17,27.23
316,2026-05-05 16:00:00,32.24,27.3
317,2026-05-05 16:15:00,31.48,28.28
318,2026-05-05 16:30:00,31.16,28.66
319,2026-05-05 16:45:00,29.14,30.1
320,2026-05-05 17:00:00,31.46,27.44
321,2026-05-05 17:15:00,25.41,35.14
322,2026-05-05 17:30:00,26.18,34.69
323,2026-05-05 17:45:00,26.12,34.82
324,2026-05-05 18:00:00,26.8,34.62
325,2026-05-05 18:15:00,24.12,38.51
326,2026-05-05 18:30:00,23.24,43.56
327,2026-05-05 18:45:00,22.4,48.5
328,2026-05-05 19:00:00,21.75,48.63
329,2026-05-05 19:15:00,21.4,50.87
330,2026-05-05 19:30:00,20.52,52.47
331,2026-05-05 19:45:00,20.17,55.57
332,2026-05-05 20:00:00,19.35,56.18
333,2026-05-05 20:15:00,19.37,57.73
334,2026-05-05 20:30:00,18.73,57.85
335,2026-05-05 20:45:00,18.97,58.8
336,2026-05-05 21:00:00,18.3,59.42
337,2026-05-05 21:15:00,18.53,60.97
338,2026-05-05 21:30:00,17.93,61.57
339,2026-05-05 21:45:00,18.13,63.5
340,2026-05-05 22:00:00,17.55,63.5
341,2026-05-05 22:15:00,17.9,65.23
342,2026-05-05 22:30:00,17.23,66.0
343,2026-05-05 22:45:00,17.6,68.23
344,2026-05-05 23:00:00,16.97,67.95
345,2026-05-05 23:15:00,17.4,68.1
346,2026-05-05 23:30:00,16.88,67.57
347,2026-05-05 23:45:00,17.2,68.57
348,2026-05-06 00:00:00,16.67,68.5
349,2026-05-06 00:15:00,17.0,70.1
350,2026-05-06 00:30:00,16.55,69.65
351,2026-05-06 00:45:00,16.9,71.23
352,2026-05-06 01:00:00,16.2,71.97
353,2026-05-06 01:15:00,16.6,73.53
354,2026-05-06 01:30:00,16.03,73.92
355,2026-05-06 01:45:00,16.4,76.0
356,2026-05-06 02:00:00,15.72,76.75
357,2026-05-06 02:15:00,16.17,78.23
358,2026-05-06 02:30:00,15.58,78.32
359,2026-05-06 02:45:00,16.07,79.0
360,2026-05-06 03:00:00,15.43,79.23
361,2026-05-06 03:15:00,15.8,80.7
362,2026-05-06 03:30:00,15.22,80.88
363,2026-05-06 03:45:00,15.53,82.03
364,2026-05-06 04:00:00,14.88,83.03
365,2026-05-06 04:15:00,15.47,84.1
366,2026-05-06 04:30:00,14.82,84.53
367,2026-05-06 04:45:00,15.37,85.5
368,2026-05-06 05:00:00,14.63,85.93
369,2026-05-06 05:15:00,15.27,86.33
370,2026-05-06 05:30:00,14.63,86.7
371,2026-05-06 05:45:00,15.2,87.17
372,2026-05-06 06:00:00,14.38,87.67
373,2026-05-06 06:15:00,14.9,87.63
374,2026-05-06 06:30:00,14.13,87.87
375,2026-05-06 06:45:00,14.83,88.07
376,2026-05-06 07:00:00,14.47,87.9
377,2026-05-06 07:15:00,15.43,87.17
378,2026-05-06 07:30:00,15.1,86.58
379,2026-05-06 07:45:00,16.03,85.57
380,2026-05-06 08:00:00,15.88,83.07
381,2026-05-06 08:15:00,17.4,78.67
382,2026-05-06 08:30:00,18.07,74.63
383,2026-05-06 08:45:00,19.57,69.77
384,2026-05-06 09:00:00,19.98,67.1
385,2026-05-06 09:15:00,21.37,61.43
386,2026-05-06 09:30:00,22.08,56.72
387,2026-05-06 09:45:00,22.73,55.4
388,2026-05-06 10:00:00,23.37,50.97
389,2026-05-06 10:15:00,24.1,49.83
390,2026-05-06 10:30:00,24.87,46.25
391,2026-05-06 10:45:00,25.0,49.4
392,2026-05-06 11:00:00,25.85,44.72
393,2026-05-06 11:15:00,27.0,44.7
394,2026-05-06 11:30:00,26.87,42.58
395,2026-05-06 11:45:00,25.61,39.44
396,2026-05-06 12:00:00,26.07,39.01
397,2026-05-06 12:15:00,25.57,39.55
398,2026-05-06 12:30:00,25.76,39.06
399,2026-05-06 12:45:00,25.18,40.22
400,2026-05-06 13:00:00,24.92,40.46
401,2026-05-06 13:15:00,25.03,45.53
402,2026-05-06 13:30:00,26.29,38.42
403,2026-05-06 13:45:00,27.81,34.96
404,2026-05-06 14:00:00,28.62,33.37
405,2026-05-06 14:15:00,29.27,32.57
406,2026-05-06 14:30:00,30.64,30.36
407,2026-05-06 14:45:00,31.26,28.54
408,2026-05-06 15:00:00,31.24,28.0
409,2026-05-06 15:15:00,30.95,28.63
410,2026-05-06 15:30:00,31.32,28.59
411,2026-05-06 15:45:00,33.81,26.01
412,2026-05-06 16:00:00,28.75,33.35
413,2026-05-06 16:15:00,30.64,29.94
414,2026-05-06 16:30:00,32.67,27.84
415,2026-05-06 16:45:00,31.59,28.97
416,2026-05-06 17:00:00,32.62,27.7
417,2026-05-06 17:15:00,33.47,26.28
418,2026-05-06 17:30:00,30.45,29.89
419,2026-05-06 17:45:00,30.56,29.19
420,2026-05-06 18:00:00,29.13,31.74
421,2026-05-06 18:15:00,26.48,34.93
422,2026-05-06 18:30:00,25.79,36.59
423,2026-05-06 18:45:00,26.09,35.98
424,2026-05-06 19:00:00,24.31,40.8
425,2026-05-06 19:15:00,23.73,44.5
426,2026-05-06 19:30:00,23.06,44.19
427,2026-05-06 19:45:00,22.67,47.1
428,2026-05-06 20:00:00,21.93,47.79
429,2026-05-06 20:15:00,21.83,49.93
430,2026-05-06 20:30:00,21.17,51.49
431,2026-05-06 20:45:00,21.17,54.37
432,2026-05-06 21:00:00,20.51,54.83
433,2026-05-06 21:15:00,20.5,57.0
434,2026-05-06 21:30:00,19.94,57.67
435,2026-05-06 21:45:00,19.97,58.73
436,2026-05-06 22:00:00,19.41,59.9
437,2026-05-06 22:15:00,19.5,62.3
438,2026-05-06 22:30:00,19.03,61.47
439,2026-05-06 22:45:00,19.37,61.53
440,2026-05-06 23:00:00,18.87,61.01
441,2026-05-06 23:15:00,19.13,61.97
442,2026-05-06 23:30:00,18.7,61.14
443,2026-05-06 23:45:00,18.97,62.37
444,2026-05-07 00:00:00,18.36,63.67
445,2026-05-07 00:15:00,18.53,65.83
446,2026-05-07 00:30:00,17.74,67.29
447,2026-05-07 00:45:00,17.77,70.27
448,2026-05-07 01:00:00,17.11,70.63
449,2026-05-07 01:15:00,17.13,72.2
450,2026-05-07 01:30:00,16.64,72.61
451,2026-05-07 01:45:00,16.77,74.43
452,2026-05-07 02:00:00,16.29,74.77
453,2026-05-07 02:15:00,16.47,75.93
454,2026-05-07 02:30:00,15.94,76.51
455,2026-05-07 02:45:00,16.27,77.17
456,2026-05-07 03:00:00,15.67,77.74
457,2026-05-07 03:15:00,15.77,78.67
458,2026-05-07 03:30:00,15.23,77.83
459,2026-05-07 03:45:00,15.4,79.63
460,2026-05-07 04:00:00,14.9,78.99
461,2026-05-07 04:15:00,15.13,79.73
462,2026-05-07 04:30:00,14.7,79.24
463,2026-05-07 04:45:00,15.03,79.83
464,2026-05-07 05:00:00,14.5,79.86
465,2026-05-07 05:15:00,14.77,80.6
466,2026-05-07 05:30:00,14.31,80.4
467,2026-05-07 05:45:00,14.67,81.5
468,2026-05-07 06:00:00,14.17,81.04
469,2026-05-07 06:15:00,14.57,81.2
470,2026-05-07 06:30:00,13.96,81.13
471,2026-05-07 06:45:00,14.23,81.8
472,2026-05-07 07:00:00,13.93,81.16
473,2026-05-07 07:15:00,14.6,80.57
474,2026-05-07 07:30:00,14.49,79.49
475,2026-05-07 07:45:00,15.27,78.37
476,2026-05-07 08:00:00,15.43,77.37
477,2026-05-07 08:15:00,16.3,76.3
478,2026-05-07 08:30:00,16.51,73.33
479,2026-05-07 08:45:00,17.6,70.6
480,2026-05-07 09:00:00,17.86,68.59
481,2026-05-07 09:15:00,19.3,66.53
482,2026-05-07 09:30:00,19.66,63.19
483,2026-05-07 09:45:00,21.0,59.5
484,2026-05-07 10:00:00,22.19,55.2
485,2026-05-07 10:15:00,23.57,51.73
486,2026-05-07 10:30:00,23.11,49.76
487,2026-05-07 10:45:00,22.4,52.23
488,2026-05-07 11:00:00,22.41,51.57
489,2026-05-07 11:15:00,24.23,47.27
490,2026-05-07 11:30:00,23.57,47.89
491,2026-05-07 11:45:00,24.37,47.6
492,2026-05-07 12:00:00,25.39,41.29
493,2026-05-07 12:15:00,24.46,42.34
494,2026-05-07 12:30:00,25.57,44.3
495,2026-05-07 12:45:00,25.02,40.33
496,2026-05-07 13:00:00,25.39,39.78
497,2026-05-07 13:15:00,26.12,37.53
498,2026-05-07 13:30:00,26.46,37.7
499,2026-05-07 13:45:00,26.03,38.3
500,2026-05-07 14:00:00,27.14,37.44
501,2026-05-07 14:15:00,24.76,42.46
502,2026-05-07 14:30:00,24.13,47.52
503,2026-05-07 14:45:00,23.38,48.9
504,2026-05-07 15:00:00,23.65,49.28
505,2026-05-07 15:15:00,22.0,51.32
506,2026-05-07 15:30:00,23.12,51.13
507,2026-05-07 15:45:00,22.28,53.2
508,2026-05-07 16:00:00,22.13,57.55
509,2026-05-07 16:15:00,21.12,62.5
510,2026-05-07 16:30:00,21.8,65.47
511,2026-05-07 16:45:00,20.6,67.68
512,2026-05-07 17:00:00,21.25,64.87
513,2026-05-07 17:15:00,20.8,63.38
514,2026-05-07 17:30:00,21.18,64.03
515,2026-05-07 17:45:00,20.2,65.58
516,2026-05-07 18:00:00,20.65,64.92
517,2026-05-07 18:15:00,19.45,66.08
518,2026-05-07 18:30:00,20.18,64.73
519,2026-05-07 18:45:00,18.9,63.25
520,2026-05-07 19:00:00,19.6,64.12
521,2026-05-07 19:15:00,18.5,64.53
522,2026-05-07 19:30:00,19.13,65.72
523,2026-05-07 19:45:00,17.95,66.85
524,2026-05-07 20:00:00,18.43,68.47
525,2026-05-07 20:15:00,17.3,70.45
526,2026-05-07 20:30:00,18.05,71.68
527,2026-05-07 20:45:00,17.15,72.62
528,2026-05-07 21:00:00,17.92,73.28
529,2026-05-07 21:15:00,17.05,73.45
530,2026-05-07 21:30:00,17.7,74.23
531,2026-05-07 21:45:00,16.65,74.78
532,2026-05-07 22:00:00,17.4,75.08
533,2026-05-07 22:15:00,16.4,74.28
534,2026-05-07 22:30:00,17.27,73.85
535,2026-05-07 22:45:00,16.4,72.25
536,2026-05-07 23:00:00,17.27,72.33
537,2026-05-07 23:15:00,16.42,73.08
538,2026-05-07 23:30:00,17.28,71.8
539,2026-05-07 23:45:00,16.38,70.3
540,2026-05-08 00:00:00,17.02,70.73
541,2026-05-08 00:15:00,15.9,72.03
542,2026-05-08 00:30:00,16.57,71.98
543,2026-05-08 00:45:00,15.7,71.5
544,2026-05-08 01:00:00,16.48,72.2
545,2026-05-08 01:15:00,15.65,72.75
546,2026-05-08 01:30:00,16.5,72.25
547,2026-05-08 01:45:00,15.7,70.72
548,2026-05-08 02:00:00,16.67,68.98
549,2026-05-08 02:15:00,15.82,69.4
550,2026-05-08 02:30:00,16.77,71.33
551,2026-05-08 02:45:00,15.9,75.22
552,2026-05-08 03:00:00,16.63,76.45
553,2026-05-08 03:15:00,15.55,77.8
554,2026-05-08 03:30:00,15.9,81.13
555,2026-05-08 03:45:00,14.7,83.92
556,2026-05-08 04:00:00,15.1,86.23
557,2026-05-08 04:15:00,13.9,86.78
558,2026-05-08 04:30:00,14.68,87.67
559,2026-05-08 04:45:00,13.68,88.02
560,2026-05-08 05:00:00,14.48,88.13
561,2026-05-08 05:15:00,13.28,87.35
562,2026-05-08 05:30:00,14.03,88.07
563,2026-05-08 05:45:00,12.88,87.68
564,2026-05-08 06:00:00,13.63,88.05
565,2026-05-08 06:15:00,12.7,87.8
566,2026-05-08 06:30:00,13.47,88.78
567,2026-05-08 06:45:00,12.85,88.22
568,2026-05-08 07:00:00,13.65,88.4
569,2026-05-08 07:15:00,12.75,88.28
570,2026-05-08 07:30:00,13.65,88.2
571,2026-05-08 07:45:00,12.75,88.28
572,2026-05-08 08:00:00,13.67,88.83
573,2026-05-08 08:15:00,13.18,88.5
574,2026-05-08 08:30:00,13.87,88.12
575,2026-05-08 08:45:00,12.8,87.62
576,2026-05-08 09:00:00,13.57,87.62
577,2026-05-08 09:15:00,12.98,87.15
578,2026-05-08 09:30:00,13.98,86.52
579,2026-05-08 09:45:00,13.25,85.5
580,2026-05-08 10:00:00,13.88,86.02
581,2026-05-08 10:15:00,13.0,85.28
582,2026-05-08 10:30:00,13.98,85.12
583,2026-05-08 10:45:00,13.72,83.1
584,2026-05-08 11:00:00,14.7,83.83
585,2026-05-08 11:15:00,14.18,84.32
586,2026-05-08 11:30:00,15.1,84.95
587,2026-05-08 11:45:00,14.28,84.48
588,2026-05-08 12:00:00,15.2,84.38
589,2026-05-08 12:15:00,14.78,82.68
590,2026-05-08 12:30:00,15.8,81.58
591,2026-05-08 12:45:00,14.95,81.05
592,2026-05-08 13:00:00,15.77,81.23
593,2026-05-08 13:15:00,15.12,80.88
594,2026-05-08 13:30:00,16.05,80.9
595,2026-05-08 13:45:00,15.4,80.32
596,2026-05-08 14:00:00,16.37,79.9
597,2026-05-08 14:15:00,16.08,77.35
598,2026-05-08 14:30:00,16.63,78.77
599,2026-05-08 14:45:00,16.0,77.78
600,2026-05-08 15:00:00,17.0,76.12
601,2026-05-08 15:15:00,15.98,74.22
602,2026-05-08 15:30:00,16.9,74.2
603,2026-05-08 15:45:00,16.1,73.75
604,2026-05-08 16:00:00,16.87,74.05
605,2026-05-08 16:15:00,16.02,74.1
606,2026-05-08 16:30:00,16.95,74.15
607,2026-05-08 16:45:00,16.02,74.1
